node,key,component,uniques,value_range
0,p_pour_z,0,1,0.0
0,p_pour,0,1,0.0
0,p_pour,1,1,0.0
0,p_pour,2,1,0.0
0,Sresume_Sobs0,0,101,0.1893308162689209
0,ps_rcv,0,1,0.0
0,ps_rcv,1,1,0.0
0,ps_rcv,2,1,0.0
0,ps_rcv,3,1,0.0
0,ps_rcv,4,1,0.0
0,ps_rcv,5,1,0.0
0,ps_rcv,6,1,0.0
0,ps_rcv,7,1,0.0
0,ps_rcv,8,1,0.0
0,ps_rcv,9,1,0.0
0,ps_rcv,10,1,0.0
0,ps_rcv,11,1,0.0
0,Sresume_Fobs0,0,101,0.18932294845581055
0,material2,0,1,0.0
0,material2,1,1,0.0
0,material2,2,1,0.0
0,material2,3,1,0.0
0,da_trg,0,1,0.0
0,a_trg,0,1,0.0
0,size_srcmouth,0,1,0.0
0,Sobs0_Fobs0,0,79,0.0002753734588623047
0,lp_pour,0,1,0.0
0,lp_pour,1,1,0.0
0,lp_pour,2,1,0.0
1,p_pour_z,0,1,0.0
1,Sobs1_Fobs1,0,72,0.0003669261932373047
1,Sstate1_Sobs1,0,101,0.0931251049041748
1,ps_rcv,0,3,4.655875176851065e-05
1,ps_rcv,1,3,5.409567810257809e-05
1,ps_rcv,2,3,8.797146936859179e-05
1,ps_rcv,3,3,4.6556631252969716e-05
1,ps_rcv,4,3,5.3848631646813416e-05
1,ps_rcv,5,3,1.8744508309936903e-05
1,ps_rcv,6,3,4.6747230607824264e-05
1,ps_rcv,7,3,5.3845636727389845e-05
1,ps_rcv,8,3,8.807108108940809e-05
1,ps_rcv,9,3,4.674523102171646e-05
1,ps_rcv,10,3,5.4098209886305204e-05
1,ps_rcv,11,3,1.8844120030753198e-05
1,gh_abs,0,1,0.0
1,p_pour,0,1,0.0
1,p_pour,1,1,0.0
1,p_pour,2,1,0.0
1,material2,0,1,0.0
1,material2,1,1,0.0
1,material2,2,1,0.0
1,material2,3,1,0.0
1,Sresume_Fobs1,0,101,0.2098069190979004
1,a_trg,0,1,0.0
1,size_srcmouth,0,1,0.0
1,lp_pour,0,3,4.184996429379417e-05
1,lp_pour,1,3,5.0424571335999646e-05
1,lp_pour,2,3,1.1956093481924057e-07
2,p_pour_z,0,1,0.0
2,p_pour,0,1,0.0
2,p_pour,1,1,0.0
2,p_pour,2,1,0.0
2,dps_rcv,0,15,0.00010306771017238693
2,dps_rcv,1,15,0.00011539078293059761
2,dps_rcv,2,15,0.00017580000821870397
2,dps_rcv,3,15,0.00010303143866463813
2,dps_rcv,4,15,0.00011540137011646997
2,dps_rcv,5,15,3.747208377519233e-05
2,dps_rcv,6,15,0.00010310148291207505
2,dps_rcv,7,15,0.00011535287289469505
2,dps_rcv,8,15,0.00017589974464935604
2,dps_rcv,9,15,0.00010307652084494599
2,dps_rcv,10,15,0.000115423931674752
2,dps_rcv,11,15,3.757182020670527e-05
2,Sobs2_Fobs2,0,78,0.0005140304565429688
2,ps_rcv,0,8,7.587717679424788e-05
2,ps_rcv,1,8,6.860024902552442e-05
2,ps_rcv,2,8,8.782896511150273e-05
2,ps_rcv,3,8,7.582484526702515e-05
2,ps_rcv,4,8,7.597392985783658e-05
2,ps_rcv,5,8,1.8727688306519052e-05
2,ps_rcv,6,8,6.611703124659307e-05
2,ps_rcv,7,8,7.590415325306465e-05
2,ps_rcv,8,8,8.782929539929984e-05
2,ps_rcv,9,8,6.607965184141085e-05
2,ps_rcv,10,8,6.86500887981667e-05
2,ps_rcv,11,8,1.8728018594316165e-05
2,gh_abs,0,1,0.0
2,Sresume_Fobs2,0,101,0.4765348434448242
2,material2,0,1,0.0
2,material2,1,1,0.0
2,material2,2,1,0.0
2,material2,3,1,0.0
2,da_trg,0,1,0.0
2,a_trg,0,1,0.0
2,v_rcv,0,8,0.0001818451049526172
2,size_srcmouth,0,1,0.0
2,Sstate2_Sobs2,0,101,0.5246930122375488
2,lp_pour,0,8,4.171722588952598e-05
2,lp_pour,1,8,5.033932049364198e-05
2,lp_pour,2,8,2.584355507373459e-10
3,a_pour,0,1,0.0
3,p_pour_z,0,1,0.0
3,p_pour,0,1,0.0
3,p_pour,1,1,0.0
3,p_pour,2,1,0.0
3,Sobs3_Fobs3,0,80,0.0003650188446044922
3,ps_rcv,0,9,7.566581441353915e-05
3,ps_rcv,1,9,7.589227111309826e-05
3,ps_rcv,2,9,8.78301564813111e-05
3,ps_rcv,3,9,7.537463466089633e-05
3,ps_rcv,4,9,7.628043899529646e-05
3,ps_rcv,5,9,1.872555466309045e-05
3,ps_rcv,6,9,7.566692871019409e-05
3,ps_rcv,7,9,7.589219829215454e-05
3,ps_rcv,8,9,8.783016611560446e-05
3,ps_rcv,9,9,7.537698884668709e-05
3,ps_rcv,10,9,7.627885863070727e-05
3,ps_rcv,11,9,1.8725543934061673e-05
3,gh_abs,0,1,0.0
3,Sresume_Fobs3,0,101,6.32877516746521
3,material2,0,1,0.0
3,material2,1,1,0.0
3,material2,2,1,0.0
3,material2,3,1,0.0
3,Sstate3_Sobs3,0,101,6.315838098526001
3,a_trg,0,1,0.0
3,a_total,0,1,0.0
3,a_spill2,0,1,0.0
3,size_srcmouth,0,1,0.0
3,lp_pour,0,9,4.1462079991783085e-05
3,lp_pour,1,9,5.054185356462293e-05
3,lp_pour,2,9,1.3124995534852246e-10
4,a_pour,0,45,0.363
4,flow_var,0,101,0.3041044180789211
4,Sobs4_Fobs4,0,87,0.0005650520324707031
4,da_total,0,39,0.36850000000000005
4,ps_rcv,0,101,0.004138421971189965
4,ps_rcv,1,101,0.0029125325109738143
4,ps_rcv,2,101,9.737992116437555e-05
4,ps_rcv,3,101,0.0038971699614313016
4,ps_rcv,4,101,0.003172876635854832
4,ps_rcv,5,101,2.708840905027432e-05
4,ps_rcv,6,101,0.0042167089269469216
4,ps_rcv,7,101,0.002851207086808333
4,ps_rcv,8,101,0.0001004243138141292
4,ps_rcv,9,101,0.003975456917188258
4,ps_rcv,10,101,0.0032342020600203136
4,ps_rcv,11,101,2.8908103413743946e-05
4,p_pour_z,0,1,0.0
4,gh_abs,0,1,0.0
4,p_pour,0,1,0.0
4,p_pour,1,1,0.0
4,p_pour,2,1,0.0
4,material2,0,1,0.0
4,material2,1,1,0.0
4,material2,2,1,0.0
4,material2,3,1,0.0
4,lp_flow2,0,101,0.13715779254294336
4,lp_flow2,1,101,0.03891159163905659
4,a_trg,0,1,0.0
4,da_pour,0,45,0.363
4,Sresume_Fobs4,0,101,36.87413001060486
4,Sstate4_Sobs4,0,101,32.07021498680115
4,a_spill2,0,12,1.2000000000000002
4,size_srcmouth,0,1,0.0
4,da_spill2,0,12,1.2000000000000002
4,lpp_flow,0,101,0.13723565068754662
4,lpp_flow,1,101,0.03891282565252325
4,lp_pour,0,101,0.00011333011712977292
4,lp_pour,1,101,0.0001372347290739262
4,lp_pour,2,101,9.828402613432097e-06
4,a_total,0,39,0.36850000000000005
