node,key,component,uniques,value_range
0,p_pour_z,0,1,0.0
0,p_pour,0,1,0.0
0,p_pour,1,1,0.0
0,p_pour,2,1,0.0
0,ps_rcv,0,4,4.633269587805966e-05
0,ps_rcv,1,4,6.358012997123574e-05
0,ps_rcv,2,4,9.005509145545987e-05
0,ps_rcv,3,4,4.633115025998169e-05
0,ps_rcv,4,4,5.341647740150779e-05
0,ps_rcv,5,4,1.8951232707481447e-05
0,ps_rcv,6,4,5.836827852867543e-05
0,ps_rcv,7,4,5.341377265552505e-05
0,ps_rcv,8,4,9.161389231829298e-05
0,ps_rcv,9,4,5.836636950451446e-05
0,ps_rcv,10,4,6.358195373720732e-05
0,ps_rcv,11,4,2.0510033570314556e-05
0,material2,0,1,0.0
0,material2,1,1,0.0
0,material2,2,1,0.0
0,material2,3,1,0.0
0,da_trg,0,1,0.0
0,a_trg,0,1,0.0
0,size_srcmouth,0,1,0.0
0,lp_pour,0,4,4.333703258474486e-05
0,lp_pour,1,4,5.230737182482237e-05
0,lp_pour,2,4,7.794004313610436e-07
1,p_pour_z,0,1,0.0
1,p_pour,0,1,0.0
1,p_pour,1,1,0.0
1,p_pour,2,1,0.0
1,ps_rcv,0,5,5.606817913145212e-05
1,ps_rcv,1,5,6.181131819849028e-05
1,ps_rcv,2,5,8.837847183129632e-05
1,ps_rcv,3,5,5.606263100987885e-05
1,ps_rcv,4,5,6.081240210148442e-05
1,ps_rcv,5,5,1.878355275133914e-05
1,ps_rcv,6,5,5.686497115531264e-05
1,ps_rcv,7,5,6.0804786031098956e-05
1,ps_rcv,8,5,8.877610256580182e-05
1,ps_rcv,9,5,5.685928547560781e-05
1,ps_rcv,10,5,6.1818720702711e-05
1,ps_rcv,11,5,1.9181183485844633e-05
1,gh_abs,0,1,0.0
1,material2,0,1,0.0
1,material2,1,1,0.0
1,material2,2,1,0.0
1,material2,3,1,0.0
1,a_trg,0,1,0.0
1,size_srcmouth,0,1,0.0
1,lp_pour,0,5,4.2132105150027854e-05
1,lp_pour,1,5,5.076727115377322e-05
1,lp_pour,2,5,3.101816671291502e-07
2,p_pour_z,0,1,0.0
2,p_pour,0,1,0.0
2,p_pour,1,1,0.0
2,p_pour,2,1,0.0
2,dps_rcv,0,26,0.00010327641349589293
2,dps_rcv,1,26,0.0001158003180135376
2,dps_rcv,2,26,0.00017620676447428817
2,dps_rcv,3,26,0.0001032297676541376
2,dps_rcv,4,26,0.00011568974985798141
2,dps_rcv,5,26,3.751106901885071e-05
2,dps_rcv,6,26,0.00010345907840157627
2,dps_rcv,7,26,0.00011562737576354754
2,dps_rcv,8,26,0.00017660445185153714
2,dps_rcv,9,26,0.00010344591694219486
2,dps_rcv,10,26,0.00011581768822259556
2,dps_rcv,11,26,3.790875639927386e-05
2,ps_rcv,0,9,7.587717679424788e-05
2,ps_rcv,1,9,7.590626225945085e-05
2,ps_rcv,2,9,8.782962566708519e-05
2,ps_rcv,3,9,7.582484526702515e-05
2,ps_rcv,4,9,7.597392985783658e-05
2,ps_rcv,5,9,1.872783703851799e-05
2,ps_rcv,6,9,7.587987116464134e-05
2,ps_rcv,7,9,7.590415325306465e-05
2,ps_rcv,8,9,8.783032584044892e-05
2,ps_rcv,9,9,7.582878804701654e-05
2,ps_rcv,10,9,7.597437386913652e-05
2,ps_rcv,11,9,1.8728537211881724e-05
2,gh_abs,0,1,0.0
2,material2,0,1,0.0
2,material2,1,1,0.0
2,material2,2,1,0.0
2,material2,3,1,0.0
2,da_trg,0,1,0.0
2,a_trg,0,1,0.0
2,v_rcv,0,22,0.00020202053286018566
2,size_srcmouth,0,1,0.0
2,lp_pour,0,9,4.171896742821701e-05
2,lp_pour,1,9,5.033932049364198e-05
2,lp_pour,2,9,3.578259910597126e-10
3,a_pour,0,1,0.0
3,p_pour_z,0,2,0.00209777479701162
3,p_pour,0,2,0.0013599047396868347
3,p_pour,1,1,0.0
3,p_pour,2,2,0.00209777479701162
3,ps_rcv,0,15,0.00011726572727266404
3,ps_rcv,1,15,0.00012662240608030118
3,ps_rcv,2,15,8.783030010434123e-05
3,ps_rcv,3,15,0.00011630353864355847
3,ps_rcv,4,15,9.83386851324819e-05
3,ps_rcv,5,15,1.8725881849507298e-05
3,ps_rcv,6,15,0.0001440906490661753
3,ps_rcv,7,15,9.762687815229043e-05
3,ps_rcv,8,15,8.783023569913784e-05
3,ps_rcv,9,15,0.00014325431449691006
3,ps_rcv,10,15,0.00012773752193839805
3,ps_rcv,11,15,1.8725674663738756e-05
3,gh_abs,0,1,0.0
3,material2,0,1,0.0
3,material2,1,1,0.0
3,material2,2,1,0.0
3,material2,3,1,0.0
3,a_trg,0,1,0.0
3,a_total,0,1,0.0
3,a_spill2,0,1,0.0
3,size_srcmouth,0,1,0.0
3,lp_pour,0,15,0.0013598980540634464
3,lp_pour,1,15,5.0540802033510746e-05
3,lp_pour,2,15,0.0020977751921257004
4,a_pour,0,62,0.374
4,flow_var,0,400,0.39740685149158395
4,lp_flow2,0,400,0.17655668902852728
4,lp_flow2,1,400,0.06667006073117687
4,da_total,0,62,0.40700000000000003
4,ps_rcv,0,400,0.003186313844727451
4,ps_rcv,1,400,0.002204577124858109
4,ps_rcv,2,400,9.835095966154173e-05
4,ps_rcv,3,400,0.003007033666623249
4,ps_rcv,4,400,0.002451735697538926
4,ps_rcv,5,400,2.8381703101987288e-05
4,ps_rcv,6,400,0.003201383537774549
4,ps_rcv,7,400,0.0022126954158877554
4,ps_rcv,8,400,9.974393073172716e-05
4,ps_rcv,9,400,0.0030221033596703473
4,ps_rcv,10,400,0.0024436174065092797
4,ps_rcv,11,400,2.8470263199409374e-05
4,p_pour_z,0,1,0.0
4,gh_abs,0,1,0.0
4,material2,0,1,0.0
4,material2,1,1,0.0
4,material2,2,1,0.0
4,material2,3,1,0.0
4,p_pour,0,1,0.0
4,p_pour,1,1,0.0
4,p_pour,2,1,0.0
4,a_trg,0,1,0.0
4,a_total,0,62,0.40700000000000003
4,a_spill2,0,12,1.6
4,size_srcmouth,0,1,0.0
4,da_spill2,0,12,1.6
4,lpp_flow,0,400,0.1765403345214921
4,lpp_flow,1,400,0.06665965430957158
4,lp_pour,0,400,0.00011652930159622432
4,lp_pour,1,400,0.00015154713597140268
4,lp_pour,2,400,1.0089256556822246e-05
4,da_pour,0,62,0.374
