node,key,component,uniques,value_range
0,p_pour_z,0,1,0.0
0,p_pour,0,1,0.0
0,p_pour,1,1,0.0
0,p_pour,2,1,0.0
0,ps_rcv,0,2,3.7295247854729485e-05
0,ps_rcv,1,2,5.4493983937281554e-05
0,ps_rcv,2,2,8.841423954158989e-05
0,ps_rcv,3,2,3.729576472866203e-05
0,ps_rcv,4,2,4.713804630948615e-05
0,ps_rcv,5,2,1.8792686416718718e-05
0,ps_rcv,6,2,4.7101813659078395e-05
0,ps_rcv,7,2,4.7138207913216545e-05
0,ps_rcv,8,2,8.880828340501745e-05
0,ps_rcv,9,2,4.710129678520136e-05
0,ps_rcv,10,2,5.449414554101195e-05
0,ps_rcv,11,2,1.918673028014628e-05
0,material2,0,1,0.0
0,material2,1,1,0.0
0,material2,2,1,0.0
0,material2,3,1,0.0
0,da_trg,0,1,0.0
0,a_trg,0,1,0.0
0,size_srcmouth,0,1,0.0
0,lp_pour,0,2,4.2198530756931696e-05
0,lp_pour,1,2,5.081609592524905e-05
0,lp_pour,2,2,1.9702193165826998e-07
1,p_pour_z,0,1,0.0
1,p_pour,0,1,0.0
1,p_pour,1,1,0.0
1,p_pour,2,1,0.0
1,ps_rcv,0,4,5.619081354196753e-05
1,ps_rcv,1,4,5.409567810257809e-05
1,ps_rcv,2,4,8.797146936859179e-05
1,ps_rcv,3,4,5.618427860831776e-05
1,ps_rcv,4,4,6.0991892388811975e-05
1,ps_rcv,5,4,1.8744508309936903e-05
1,ps_rcv,6,4,4.6747230607824264e-05
1,ps_rcv,7,4,6.098303923360304e-05
1,ps_rcv,8,4,8.807108108940809e-05
1,ps_rcv,9,4,4.674523102171646e-05
1,ps_rcv,10,4,5.4098209886305204e-05
1,ps_rcv,11,4,1.8844120030753198e-05
1,gh_abs,0,1,0.0
1,material2,0,1,0.0
1,material2,1,1,0.0
1,material2,2,1,0.0
1,material2,3,1,0.0
1,a_trg,0,1,0.0
1,size_srcmouth,0,1,0.0
1,lp_pour,0,4,4.184996429379417e-05
1,lp_pour,1,4,5.0424571335999646e-05
1,lp_pour,2,4,1.6340892472488378e-07
2,p_pour_z,0,1,0.0
2,p_pour,0,1,0.0
2,p_pour,1,1,0.0
2,p_pour,2,1,0.0
2,dps_rcv,0,17,0.00010306771017238693
2,dps_rcv,1,17,0.00011539078293059761
2,dps_rcv,2,17,0.00017580000821870397
2,dps_rcv,3,17,0.00010303143866463813
2,dps_rcv,4,17,0.00011540137011646997
2,dps_rcv,5,17,3.747208377519233e-05
2,dps_rcv,6,17,0.00010310148291207505
2,dps_rcv,7,17,0.00011535287289469505
2,dps_rcv,8,17,0.00017589974464935604
2,dps_rcv,9,17,0.00010307652084494599
2,dps_rcv,10,17,0.000115423931674752
2,dps_rcv,11,17,3.757182020670527e-05
2,ps_rcv,0,8,7.587717679424788e-05
2,ps_rcv,1,8,6.860024902552442e-05
2,ps_rcv,2,8,8.782896511150273e-05
2,ps_rcv,3,8,7.582484526702515e-05
2,ps_rcv,4,8,7.597392985783658e-05
2,ps_rcv,5,8,1.8727688306519052e-05
2,ps_rcv,6,8,6.611703124659307e-05
2,ps_rcv,7,8,7.590415325306465e-05
2,ps_rcv,8,8,8.782929539929984e-05
2,ps_rcv,9,8,6.607965184141085e-05
2,ps_rcv,10,8,6.86500887981667e-05
2,ps_rcv,11,8,1.8728018594316165e-05
2,gh_abs,0,1,0.0
2,material2,0,1,0.0
2,material2,1,1,0.0
2,material2,2,1,0.0
2,material2,3,1,0.0
2,da_trg,0,1,0.0
2,a_trg,0,1,0.0
2,v_rcv,0,9,0.0001818451049526172
2,size_srcmouth,0,1,0.0
2,lp_pour,0,8,4.171722588952598e-05
2,lp_pour,1,8,5.033932049364198e-05
2,lp_pour,2,8,2.584355507373459e-10
3,a_pour,0,1,0.0
3,p_pour_z,0,1,0.0
3,p_pour,0,1,0.0
3,p_pour,1,1,0.0
3,p_pour,2,1,0.0
3,ps_rcv,0,11,9.52138613747322e-05
3,ps_rcv,1,11,7.589227111309826e-05
3,ps_rcv,2,11,8.78301564813111e-05
3,ps_rcv,3,11,9.475629339728009e-05
3,ps_rcv,4,11,9.09900041397016e-05
3,ps_rcv,5,11,1.872555466309045e-05
3,ps_rcv,6,11,7.566692871019409e-05
3,ps_rcv,7,11,9.037991187998973e-05
3,ps_rcv,8,11,8.78302316976165e-05
3,ps_rcv,9,11,7.537698884668709e-05
3,ps_rcv,10,11,7.627885863070727e-05
3,ps_rcv,11,11,1.8725609544245625e-05
3,gh_abs,0,1,0.0
3,material2,0,1,0.0
3,material2,1,1,0.0
3,material2,2,1,0.0
3,material2,3,1,0.0
3,a_trg,0,1,0.0
3,a_total,0,1,0.0
3,a_spill2,0,1,0.0
3,size_srcmouth,0,1,0.0
3,lp_pour,0,11,4.1463417126075264e-05
3,lp_pour,1,11,5.054290499317826e-05
3,lp_pour,2,11,1.804296434482211e-10
4,a_pour,0,60,0.3464999999999999
4,flow_var,0,399,0.46815507854530936
4,lp_flow2,0,400,0.1496898908803853
4,lp_flow2,1,400,0.058084574303832306
4,da_total,0,61,0.36299999999999993
4,ps_rcv,0,400,0.0036692827202310374
4,ps_rcv,1,400,0.0025539160885014733
4,ps_rcv,2,400,9.848518301799891e-05
4,ps_rcv,3,400,0.003451101053045469
4,ps_rcv,4,400,0.002808493573886156
4,ps_rcv,5,400,2.780706470245642e-05
4,ps_rcv,6,400,0.003693892893819495
4,ps_rcv,7,400,0.0025290627970309953
4,ps_rcv,8,400,9.877470024022283e-05
4,ps_rcv,9,400,0.0034757112266338708
4,ps_rcv,10,400,0.002844825053806621
4,ps_rcv,11,400,2.7884784402049112e-05
4,p_pour_z,0,1,0.0
4,gh_abs,0,1,0.0
4,material2,0,1,0.0
4,material2,1,1,0.0
4,material2,2,1,0.0
4,material2,3,1,0.0
4,p_pour,0,1,0.0
4,p_pour,1,1,0.0
4,p_pour,2,1,0.0
4,a_trg,0,1,0.0
4,a_total,0,61,0.36299999999999993
4,a_spill2,0,12,1.1
4,size_srcmouth,0,1,0.0
4,da_spill2,0,12,1.1
4,lpp_flow,0,400,0.14968789300054985
4,lpp_flow,1,400,0.058130172167410385
4,lp_pour,0,400,0.00014625953684821447
4,lp_pour,1,400,0.00018887392688385352
4,lp_pour,2,400,9.354331648558922e-06
4,da_pour,0,60,0.3464999999999999
