node,key,component,uniques,value_range
0,p_pour_z,0,1,0.0
0,p_pour,0,1,0.0
0,p_pour,1,1,0.0
0,p_pour,2,1,0.0
0,ps_rcv,0,3,4.655886272009191e-05
0,ps_rcv,1,3,5.4014002950825146e-05
0,ps_rcv,2,3,8.782843935445372e-05
0,ps_rcv,3,3,4.6546575015460334e-05
0,ps_rcv,4,3,5.4029489149842735e-05
0,ps_rcv,5,3,1.872719379758525e-05
0,ps_rcv,6,3,4.6557561462323704e-05
0,ps_rcv,7,3,5.4013105395378513e-05
0,ps_rcv,8,3,8.782842846274952e-05
0,ps_rcv,9,3,4.6545095625183386e-05
0,ps_rcv,10,3,5.403062421463489e-05
0,ps_rcv,11,3,1.872720408796491e-05
0,material2,0,1,0.0
0,material2,1,1,0.0
0,material2,2,1,0.0
0,material2,3,1,0.0
0,da_trg,0,1,0.0
0,a_trg,0,1,0.0
0,size_srcmouth,0,1,0.0
0,lp_pour,0,3,4.167731504423067e-05
0,lp_pour,1,3,5.036580138687019e-05
0,lp_pour,2,3,3.509914581201201e-11
1,p_pour_z,0,1,0.0
1,p_pour,0,1,0.0
1,p_pour,1,1,0.0
1,p_pour,2,1,0.0
1,ps_rcv,0,3,4.6295437067023215e-05
1,ps_rcv,1,3,5.4192677164860426e-05
1,ps_rcv,2,3,8.783041395923896e-05
1,ps_rcv,3,3,4.6247290633516513e-05
1,ps_rcv,4,3,5.425776212691913e-05
1,ps_rcv,5,3,1.872506076103231e-05
1,ps_rcv,6,3,4.6296742897689036e-05
1,ps_rcv,7,3,5.419356673480591e-05
1,ps_rcv,8,3,8.783042351795389e-05
1,ps_rcv,9,3,4.6248773360180184e-05
1,ps_rcv,10,3,5.425663669564318e-05
1,ps_rcv,11,3,1.8725050072054827e-05
1,gh_abs,0,1,0.0
1,material2,0,1,0.0
1,material2,1,1,0.0
1,material2,2,1,0.0
1,material2,3,1,0.0
1,a_trg,0,1,0.0
1,size_srcmouth,0,1,0.0
1,lp_pour,0,3,4.140859394075047e-05
1,lp_pour,1,3,5.057758411536328e-05
1,lp_pour,2,3,3.228745049099757e-11
2,p_pour_z,0,1,0.0
2,p_pour,0,1,0.0
2,p_pour,1,1,0.0
2,p_pour,2,1,0.0
2,dps_rcv,0,4,8.251528518964254e-05
2,dps_rcv,1,4,0.00010136908977730237
2,dps_rcv,2,4,0.00017550131694880309
2,dps_rcv,3,4,8.25380966791656e-05
2,dps_rcv,4,4,0.00010135245462821049
2,dps_rcv,5,4,3.737099815091228e-05
2,dps_rcv,6,4,8.250926998025769e-05
2,dps_rcv,7,4,0.00010137362985760702
2,dps_rcv,8,4,0.00017580435020539634
2,dps_rcv,9,4,8.2537471603728e-05
2,dps_rcv,10,4,0.00010135200267534625
2,dps_rcv,11,4,3.7674025235119243e-05
2,ps_rcv,0,4,4.601043422569617e-05
2,ps_rcv,1,4,5.438747279856715e-05
2,ps_rcv,2,4,8.783244020371672e-05
2,ps_rcv,3,4,4.5923875993891805e-05
2,ps_rcv,4,4,5.450200262030469e-05
2,ps_rcv,5,4,1.8722707707807817e-05
2,ps_rcv,6,4,4.600912538210711e-05
2,ps_rcv,7,4,5.438659149764602e-05
2,ps_rcv,8,4,8.797394747048215e-05
2,ps_rcv,9,4,4.592239165324141e-05
2,ps_rcv,10,4,5.4503117917437116e-05
2,ps_rcv,11,4,1.8948996773043847e-05
2,gh_abs,0,1,0.0
2,material2,0,1,0.0
2,material2,1,1,0.0
2,material2,2,1,0.0
2,material2,3,1,0.0
2,da_trg,0,2,0.005500000000000005
2,a_trg,0,1,0.0
2,v_rcv,0,6,0.00021006703328756683
2,size_srcmouth,0,1,0.0
2,lp_pour,0,4,4.111574180765132e-05
2,lp_pour,1,4,5.080677987376325e-05
2,lp_pour,2,4,1.515296894072371e-07
3,a_pour,0,2,0.0055
3,p_pour_z,0,1,0.0
3,p_pour,0,1,0.0
3,p_pour,1,1,0.0
3,p_pour,2,1,0.0
3,ps_rcv,0,3,1.2063384356442164e-05
3,ps_rcv,1,3,9.952795751971832e-06
3,ps_rcv,2,3,1.1950612316402598e-07
3,ps_rcv,3,3,1.1664381547094038e-05
3,ps_rcv,4,3,9.18631367671785e-06
3,ps_rcv,5,3,7.071200208708106e-09
3,ps_rcv,6,3,1.3854430735427137e-05
3,ps_rcv,7,3,8.654268354751915e-06
3,ps_rcv,8,3,1.8651273786529643e-07
3,ps_rcv,9,3,1.3455427926245545e-05
3,ps_rcv,10,3,1.0484841073937767e-05
3,ps_rcv,11,3,2.989476608206143e-07
3,gh_abs,0,1,0.0
3,material2,0,1,0.0
3,material2,1,1,0.0
3,material2,2,1,0.0
3,material2,3,1,0.0
3,a_trg,0,1,0.0
3,a_total,0,2,0.0055
3,a_spill2,0,1,0.0
3,size_srcmouth,0,1,0.0
3,lp_pour,0,3,8.955231896035087e-07
3,lp_pour,1,3,6.502946669484366e-07
3,lp_pour,2,3,1.5300943054241678e-07
