node,key,component,uniques,value_range
0,p_pour_z,0,1,0.0
0,p_pour,0,1,0.0
0,p_pour,1,1,0.0
0,p_pour,2,1,0.0
0,ps_rcv,0,50,4.646725069779034e-06
0,ps_rcv,1,50,9.435491782394667e-06
0,ps_rcv,2,50,1.3200038850663676e-05
0,ps_rcv,3,50,4.646574405797743e-06
0,ps_rcv,4,50,6.030009097129918e-06
0,ps_rcv,5,50,2.8120867577030584e-06
0,ps_rcv,6,50,8.772071239282475e-06
0,ps_rcv,7,50,6.031238124343252e-06
0,ps_rcv,8,50,1.3218175807711008e-05
0,ps_rcv,9,50,8.770250407907909e-06
0,ps_rcv,10,50,9.437902265818643e-06
0,ps_rcv,11,50,2.8302237146393683e-06
0,material2,0,1,0.0
0,material2,1,1,0.0
0,material2,2,1,0.0
0,material2,3,1,0.0
0,da_trg,0,1,0.0
0,a_trg,0,1,0.0
0,size_srcmouth,0,1,0.0
0,lp_pour,0,50,6.279693994637459e-06
0,lp_pour,1,50,7.568074432390825e-06
0,lp_pour,2,50,1.379475145224518e-08
1,p_pour_z,0,1,0.0
1,p_pour,0,1,0.0
1,p_pour,1,1,0.0
1,p_pour,2,1,0.0
1,ps_rcv,0,29,1.59315931935744e-06
1,ps_rcv,1,29,2.3056681100475096e-06
1,ps_rcv,2,29,3.5131405589916564e-06
1,ps_rcv,3,29,1.5926377812114367e-06
1,ps_rcv,4,29,1.8669299292617403e-06
1,ps_rcv,5,29,7.491027000094963e-07
1,ps_rcv,6,29,2.058996624199061e-06
1,ps_rcv,7,29,1.8673238736388598e-06
1,ps_rcv,8,29,3.5131469516280767e-06
1,ps_rcv,9,29,2.0583914294713956e-06
1,ps_rcv,10,29,2.3064750390711097e-06
1,ps_rcv,11,29,7.491090927569388e-07
1,gh_abs,0,1,0.0
1,material2,0,1,0.0
1,material2,1,1,0.0
1,material2,2,1,0.0
1,material2,3,1,0.0
1,a_trg,0,1,0.0
1,size_srcmouth,0,1,0.0
1,lp_pour,0,29,1.6685685255701799e-06
1,lp_pour,1,29,2.0134594992460288e-06
1,lp_pour,2,29,9.823142299580923e-12
2,p_pour_z,0,1,0.0
2,p_pour,0,1,0.0
2,p_pour,1,1,0.0
2,p_pour,2,1,0.0
2,dps_rcv,0,50,8.397104147122995e-06
2,dps_rcv,1,50,1.2568633658667006e-05
2,dps_rcv,2,50,1.5809189655444426e-05
2,dps_rcv,3,50,8.392157674630483e-06
2,dps_rcv,4,50,9.557239697217414e-06
2,dps_rcv,5,50,3.3708531599353474e-06
2,dps_rcv,6,50,1.2182043372736351e-05
2,dps_rcv,7,50,9.550644356768885e-06
2,dps_rcv,8,50,1.580915913076223e-05
2,dps_rcv,9,50,1.2164442418812523e-05
2,dps_rcv,10,50,1.2592101744067995e-05
2,dps_rcv,11,50,3.370827196915004e-06
2,ps_rcv,0,50,7.931145124595584e-06
2,ps_rcv,1,50,1.1955634021426631e-05
2,ps_rcv,2,50,1.4930903434184906e-05
2,ps_rcv,3,50,7.926293021820463e-06
2,ps_rcv,4,50,9.017249866599686e-06
2,ps_rcv,5,50,3.1835777859201553e-06
2,ps_rcv,6,50,1.1618556263415236e-05
2,ps_rcv,7,50,9.010780357532333e-06
2,ps_rcv,8,50,1.49308786445701e-05
2,ps_rcv,9,50,1.1601177797082585e-05
2,ps_rcv,10,50,1.1978805447121488e-05
2,ps_rcv,11,50,3.183556305047519e-06
2,gh_abs,0,1,0.0
2,material2,0,1,0.0
2,material2,1,1,0.0
2,material2,2,1,0.0
2,material2,3,1,0.0
2,da_trg,0,1,0.0
2,a_trg,0,1,0.0
2,v_rcv,0,50,3.0933022435889284e-05
2,size_srcmouth,0,1,0.0
2,lp_pour,0,50,7.077780537989575e-06
2,lp_pour,1,50,8.568152812586383e-06
2,lp_pour,2,50,1.780270375562054e-11
3,a_pour,0,1,0.0
3,p_pour_z,0,1,0.0
3,p_pour,0,1,0.0
3,p_pour,1,1,0.0
3,p_pour,2,1,0.0
3,ps_rcv,0,26,1.4998322853621016e-05
3,ps_rcv,1,26,1.159691256616413e-05
3,ps_rcv,2,26,1.3174595265313949e-05
3,ps_rcv,3,26,1.4859721205184862e-05
3,ps_rcv,4,26,1.2464416875496154e-05
3,ps_rcv,5,26,2.8086895360601716e-06
3,ps_rcv,6,26,1.2714833355298438e-05
3,ps_rcv,7,26,1.2279614300225727e-05
3,ps_rcv,8,26,1.3174622756489951e-05
3,ps_rcv,9,26,1.2624261948923632e-05
3,ps_rcv,10,26,1.1717674687883317e-05
3,ps_rcv,11,26,2.8087165777623824e-06
3,gh_abs,0,1,0.0
3,material2,0,1,0.0
3,material2,1,1,0.0
3,material2,2,1,0.0
3,material2,3,1,0.0
3,a_trg,0,1,0.0
3,a_total,0,1,0.0
3,a_spill2,0,1,0.0
3,size_srcmouth,0,1,0.0
3,lp_pour,0,26,6.20450959337715e-06
3,lp_pour,1,26,7.59188631775487e-06
3,lp_pour,2,26,4.1976672138233084e-11
4,a_pour,0,41,0.2914999999999992
4,flow_var,0,50,0.2863642479060048
4,lp_flow2,0,50,0.12379884266889626
4,lp_flow2,1,50,0.039966329170594984
4,da_total,0,30,0.2749999999999997
4,ps_rcv,0,50,0.0026349562813114957
4,ps_rcv,1,50,0.0017922680135241675
4,ps_rcv,2,50,2.113148547663868e-05
4,ps_rcv,3,50,0.0024692714186012044
4,ps_rcv,4,50,0.00205494992275565
4,ps_rcv,5,50,9.755152820728474e-06
4,ps_rcv,6,50,0.002613207548404106
4,ps_rcv,7,50,0.0018358483410194915
4,ps_rcv,8,50,2.198696571234504e-05
4,ps_rcv,9,50,0.0024479615170839297
4,ps_rcv,10,50,0.0020125961428723027
4,ps_rcv,11,50,1.1012426657519558e-05
4,p_pour_z,0,1,0.0
4,gh_abs,0,1,0.0
4,material2,0,1,0.0
4,material2,1,1,0.0
4,material2,2,1,0.0
4,material2,3,1,0.0
4,p_pour,0,1,0.0
4,p_pour,1,1,0.0
4,p_pour,2,1,0.0
4,a_trg,0,1,0.0
4,a_total,0,30,0.2749999999999997
4,a_spill2,0,11,1.099999999999998
4,size_srcmouth,0,1,0.0
4,da_spill2,0,11,1.099999999999998
4,lpp_flow,0,50,0.12380173975781997
4,lpp_flow,1,50,0.03999440348780371
4,lp_pour,0,50,6.322852966378356e-05
4,lp_pour,1,50,9.768510001294278e-05
4,lp_pour,2,50,7.887393380257013e-06
4,da_pour,0,41,0.2914999999999992
